system,feature,feature_type,n_clusterA,n_clusterB,mean_clusterA,mean_clusterB,effect_size,effect_ci_low,effect_ci_high,p_value,fdr_q_value,significant_at_q05
body_composition,body_comp_arm_right_tissue_mass,continuous,1304,1374,0.1345483301033305,-0.127693611684672,-0.2733306670248853,-0.308358554091959,-0.2381197386086181,2.78397044267254e-14,5.0894459655107365e-14,True
body_composition,body_comp_total_fat_free_mass,continuous,1304,1374,-0.1516321693402306,0.1439070952108152,0.2879045998120788,0.2504528496737334,0.3255102318807199,4.6911991052116266e-14,8.444158389380927e-14,True
body_composition,body_comp_total_right_lean_mass,continuous,1304,1374,-0.1520534381376709,0.1443069019880079,0.2861838106310898,0.2488969065892591,0.3232784651104293,8.069228100980123e-14,1.4304540724464766e-13,True
body_composition,body_comp_arm_right_total_mass,continuous,1304,1374,0.1306027344264773,-0.1239490288880099,-0.2675125266127722,-0.3118638611996039,-0.2236376780986592,2.096884737840477e-13,3.661724094437849e-13,True
body_composition,body_comp_total_right_fat_free_mass,continuous,1304,1374,-0.1470745307243857,0.1395816507020358,0.277022648652189,0.2395738411223427,0.314364348911666,4.58177237900614e-13,7.883343652113507e-13,True
body_composition,body_comp_gynoid_lean_mass,continuous,1304,1374,-0.1195371434992136,0.1134471871346237,0.2243583728773539,0.186351780912541,0.2621796582349834,5.0953296211946705e-09,8.639906748982266e-09,True
body_composition,body_comp_gynoid_fat_free_mass,continuous,1304,1374,-0.1182418273590878,0.1122178623553484,0.2219887404981268,0.1842065006679227,0.2599439545915454,6.973843802437194e-09,1.1656281784073596e-08,True
body_composition,body_comp_android_fat_free_mass,continuous,1304,1374,-0.1167674858891384,0.110818632896242,0.209988255409243,0.1724529003219461,0.2473317746957828,4.03011257508135e-08,6.641171426542507e-08,True
body_composition,body_comp_android_lean_mass,continuous,1304,1374,-0.1167253580556768,0.1107786513133931,0.2099014660121703,0.1718133497223602,0.247307094297336,4.2298308385531934e-08,6.87347511264894e-08,True
body_composition,body_comp_legs_diff_fat_mass,continuous,1304,1374,0.0129106503183603,-0.0122529024855472,-0.0217262057832098,-0.0257231187420441,-0.0175835488824816,5.029768788670914e-08,8.061410250335574e-08,True
body_composition,body_comp_leg_right_lean_mass,continuous,1304,1374,-0.1014390063882188,0.0962710802985711,0.191421308952994,0.1547759819980478,0.2284267714223186,4.40829047269053e-07,6.969864666280974e-07,True
body_composition,body_comp_leg_right_fat_free_mass,continuous,1304,1374,-0.0997816688010749,0.0946981776685583,0.1885074053057909,0.1517975472860941,0.2261312613385398,6.256573973331827e-07,9.760255398397648e-07,True
body_composition,body_comp_legs_lean_mass,continuous,1304,1374,-0.0998993221058016,0.0948098369912417,0.1854947887132531,0.1485690518829712,0.2225743070421613,9.918490554371829e-07,1.5269255195546104e-06,True
body_composition,body_comp_legs_fat_free_mass,continuous,1304,1374,-0.0982816306072895,0.093274560634574,0.182970691703514,0.1460127631574493,0.2201100320154968,1.492230654091431e-06,2.2674154094636027e-06,True
body_composition,body_comp_trunk_diff_fat_mass,continuous,1304,1374,0.0159200168683131,-0.0151089534179622,-0.0366484631463135,-0.0444665951141204,-0.0287124110759419,3.041838407460793e-06,4.562757611191191e-06,True
body_composition,body_comp_leg_left_lean_mass,continuous,1304,1374,-0.0961101577267431,0.0912137159211609,0.1778109223103645,0.1403919521036727,0.2144247069590489,3.350102908524045e-06,4.9615448138900416e-06,True
body_composition,body_comp_leg_left_fat_free_mass,continuous,1304,1374,-0.0947245455104886,0.0898986953025308,0.1752283880218065,0.1384530980974079,0.2127005528559241,4.338455227450168e-06,6.344990770145871e-06,True
body_composition,body_comp_arm_right_bone_mass,continuous,1304,1374,0.0034983548160924,-0.0033201271325942,0.000150376452104,0.0001067978192613,0.0001877209412405,0.0003430840900428,0.0004955659078397,True
body_composition,body_comp_arms_bone_mass,continuous,1304,1374,-0.0679913680151549,0.0645274700813421,0.1278679780285821,0.093546685419434,0.1682032128750756,0.0007084730637675,0.0010108701031804,True
body_composition,body_comp_gynoid_bone_mass,continuous,1304,1374,-0.0075820131439167,0.0071957388207186,0.0013887788838845,0.0009393543115668,0.0018074886120694,0.0021163091678315,0.002983230995618,True
body_composition,body_comp_legs_diff_tissue_mass,continuous,1304,1374,0.0412330569455273,-0.0391323917445179,-0.0298229330184474,-0.0405650699544754,-0.0189275085150263,0.0060103903821399,0.0083716151751234,True
