system,feature,effect_size_cohens_d,ci_low,ci_high,p_value,q_value_fdr,higher_in,significant_q05,analysis_type
bone_density,femur_left_total_area,0.2624,0.2162,0.3103,4.8696520763430857e-08,3.40875645344016e-07,B (lean),True,continuous
bone_density,spine_l2_average_width,0.2558,0.2102,0.3025,5.5916669483711896e-08,3.769197720753913e-07,B (lean),True,continuous
bone_density,femur_left_total_bmd,0.2561,0.2101,0.3023,6.210065457239376e-08,4.036542547205594e-07,B (lean),True,continuous
bone_density,femur_total_mean_area,0.2619,0.2152,0.309,6.827754511517258e-08,4.2850045555039355e-07,B (lean),True,continuous
bone_density,femur_upper_neck_mean_bmc,0.2415,0.1982,0.2861,8.952781352049459e-08,5.431354020243338e-07,B (lean),True,continuous
bone_density,body_arms_bmc,0.2486,0.204,0.2935,9.513126801622846e-08,5.585126057726961e-07,B (lean),True,continuous
bone_density,femur_right_total_area,0.2571,0.2098,0.3035,1.1642495188773319e-07,6.421012498050739e-07,B (lean),True,continuous
bone_density,femur_right_upper_neck_bmc,0.238,0.1946,0.2823,1.141312682237362e-07,6.421012498050739e-07,B (lean),True,continuous
bone_density,body_arm_left_bmc,0.2452,0.2014,0.2894,1.300603266786302e-07,6.899096982447799e-07,B (lean),True,continuous
bone_density,femur_total_mean_bmd,0.2507,0.2045,0.2975,1.3267494197015e-07,6.899096982447799e-07,B (lean),True,continuous
bone_density,body_arm_right_bmc,0.247,0.2017,0.2919,1.4904273763926714e-07,7.3312914190126e-07,B (lean),True,continuous
bone_density,body_pelvis_bmd,0.2518,0.2055,0.2985,1.456349556908977e-07,7.3312914190126e-07,B (lean),True,continuous
bone_density,femur_troch_mean_area,0.2527,0.2048,0.2998,1.730217562098705e-07,8.286831481630639e-07,B (lean),True,continuous
bone_density,femur_left_upper_neck_bmc,0.2335,0.19,0.2761,2.0657173143902266e-07,9.640014133821058e-07,B (lean),True,continuous
bone_density,femur_left_troch_area,0.2459,0.1994,0.2931,2.3008457145061045e-07,1.0468848001002777e-06,B (lean),True,continuous
bone_density,femur_right_troch_area,0.2399,0.1933,0.2855,3.355970435473314e-07,1.489723461600349e-06,B (lean),True,continuous
bone_density,femur_right_total_bmd,0.2416,0.1958,0.2881,3.787747555595636e-07,1.641357274091442e-06,B (lean),True,continuous
bone_density,femur_left_neck_bmc,0.2307,0.1856,0.2752,6.042504862810988e-07,2.5575253140269765e-06,B (lean),True,continuous
bone_density,body_total_left_bmc,0.2331,0.1874,0.2789,6.308196104306567e-07,2.609299297690444e-06,B (lean),True,continuous
bone_density,body_trunk_area,0.2324,0.1873,0.2806,7.787669603363491e-07,3.015650782579054e-06,B (lean),True,continuous
bone_density,femur_neck_mean_bmc,0.2308,0.185,0.2765,7.573982018674594e-07,3.015650782579054e-06,B (lean),True,continuous
bone_density,spine_l4_bmc,0.2291,0.1835,0.274,7.641005585527548e-07,3.015650782579054e-06,B (lean),True,continuous
bone_density,body_total_right_area,0.2378,0.19,0.2839,8.111706258390236e-07,3.0756886229729644e-06,B (lean),True,continuous
