Event,Arm,Seed,C-Index
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,842,0.6687613559394924
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,942,0.6895914334884314
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.6990375156926789
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.7092936844206836
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.6853004077982665
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.6299931960844564
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6125329108840198
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.7366228131171252
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6670057882703192
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.6530139571218732
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.6822863470697644
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6954979072386173
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,42,0.6815269316261148
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,142,0.7012300627786774
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,242,0.691700200936266
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,342,0.6157214345287739
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,442,0.6106196171181222
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,542,0.7354824354017745
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,642,0.6652923317466012
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,742,0.6443822171853596
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,842,0.6714491522690377
Date K76 first reported (other diseases of liver) - visit 0,DXA SSL (DINO) + Covariates,942,0.6935963626319926
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,42,0.7308083761016912
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,142,0.6552409258170575
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,242,0.6191804141607589
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,342,0.7272184555029636
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,442,0.6600398183003994
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,542,0.7148332551494734
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,642,0.6633167907361456
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,742,0.7117718244496009
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,842,0.6865893863660534
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,Covariates,942,0.6123054623938045
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,42,0.7311548539379371
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,142,0.6546693666035229
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,242,0.6195835993235449
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,342,0.7297556607394141
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,442,0.6588097989633511
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,542,0.7157448078809331
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,642,0.6623655913978495
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,742,0.7087297798403481
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,842,0.6879719238540891
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA Tabular + Covariates,942,0.6128291666225838
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.738441715931484
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6837263483354018
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.6393732710636248
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.7416634685088056
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.6780896369440599
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.7277069384621946
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.6882547559966915
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.7000477401161306
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.6964266723386153
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6402522244204869
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,42,0.7336235085211893
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,142,0.6413329849543842
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,242,0.6400564459227901
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,342,0.7302993475757963
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,442,0.6556403537878874
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,542,0.7202119493368587
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,642,0.6755272952853598
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,742,0.7081746622109225
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,842,0.7064766563862597
Date J44 first reported (other chronic obstructive pulmonary disease) - visit 0,DXA SSL (DINO) + Covariates,942,0.6253980681132894
Date N17 first reported (acute renal failure) - visit 0,Covariates,42,0.7034497609945181
Date N17 first reported (acute renal failure) - visit 0,Covariates,142,0.6765980442348366
Date N17 first reported (acute renal failure) - visit 0,Covariates,242,0.8070876632027711
Date N17 first reported (acute renal failure) - visit 0,Covariates,342,0.6756699505011556
Date N17 first reported (acute renal failure) - visit 0,Covariates,442,0.7112550368452101
Date N17 first reported (acute renal failure) - visit 0,Covariates,542,0.709764128754788
Date N17 first reported (acute renal failure) - visit 0,Covariates,642,0.7142561972663504
Date N17 first reported (acute renal failure) - visit 0,Covariates,742,0.7664977616231312
Date N17 first reported (acute renal failure) - visit 0,Covariates,842,0.6926067798307546
Date N17 first reported (acute renal failure) - visit 0,Covariates,942,0.6956906231058912
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,42,0.7008629719627162
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,142,0.6717138025721776
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,242,0.8083020762876878
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,342,0.6771098681282144
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,442,0.711202543669323
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,542,0.7111753242389625
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,642,0.7139554225753637
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,742,0.7682971907343519
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,842,0.6905162485604126
Date N17 first reported (acute renal failure) - visit 0,DXA Tabular + Covariates,942,0.6973748273566439
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.7077008151176949
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.6773039192871955
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.8003340917009982
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.6787187146388944
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.7098827152470178
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.7080169343458101
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.7139188065260261
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.7855008624938393
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.7037203945721295
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.6920539342812572
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,42,0.7093597630682029
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,142,0.6762489851430108
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,242,0.8105259382237799
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,342,0.6852506314722554
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,442,0.7132122824032876
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,542,0.7164479227512626
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,642,0.7247780805866937
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,742,0.7788678741580417
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,842,0.6999549346552502
Date N17 first reported (acute renal failure) - visit 0,DXA SSL (DINO) + Covariates,942,0.7002364841366838
Date M48 first reported (other spondylopathies) - visit 0,Covariates,42,0.7231774479604219
Date M48 first reported (other spondylopathies) - visit 0,Covariates,142,0.6658317045571444
Date M48 first reported (other spondylopathies) - visit 0,Covariates,242,0.6954466506138238
Date M48 first reported (other spondylopathies) - visit 0,Covariates,342,0.7452465557010162
Date M48 first reported (other spondylopathies) - visit 0,Covariates,442,0.6191538240643247
Date M48 first reported (other spondylopathies) - visit 0,Covariates,542,0.7338823733151175
Date M48 first reported (other spondylopathies) - visit 0,Covariates,642,0.637420171164978
Date M48 first reported (other spondylopathies) - visit 0,Covariates,742,0.7606602406219276
Date M48 first reported (other spondylopathies) - visit 0,Covariates,842,0.6518733484333711
Date M48 first reported (other spondylopathies) - visit 0,Covariates,942,0.7063076967046786
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,42,0.7208251656865491
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,142,0.6244830778726469
Date M48 first reported (other spondylopathies) - visit 0,DXA Tabular + Covariates,242,0.6932558323135831
