disease,model,seed,auc,pr
dis__endometriosis,lejepa_cov,137,0.8095192516073105,0.0589470716092055
dis__endometriosis,dino_cov,137,0.7945044426786102,0.0509606289544402
dis__endometriosis,tab_cov,137,0.8133840208047388,0.06339851979699943
dis__endometriosis,covariates,256,0.7998374629776783,0.05558070425647596
dis__endometriosis,lejepa_cov,256,0.7975944520696381,0.05654533124895293
dis__endometriosis,dino_cov,256,0.798078451202774,0.05643197558406203
dis__endometriosis,tab_cov,256,0.8048165137614678,0.05939731343366891
dis__gallstone,covariates,42,0.6630326848520169,0.09602153598642238
dis__gallstone,lejepa_cov,42,0.674134971112913,0.09894948647268978
dis__gallstone,dino_cov,42,0.67015824548956,0.09368717479216226
dis__gallstone,tab_cov,42,0.6695097113825259,0.09712456212748143
dis__gallstone,covariates,73,0.6453995255169268,0.08996779838601678
dis__gallstone,lejepa_cov,73,0.6678277987532941,0.09530153524267115
dis__gallstone,dino_cov,73,0.6611381575613217,0.09136654968264306
dis__gallstone,tab_cov,73,0.6568842806101765,0.09681917759914034
dis__gallstone,covariates,99,0.6525931861950132,0.0899954838609393
dis__gallstone,lejepa_cov,99,0.6753188032130549,0.10457624044011904
