disease,model,seed,auc,pr
dis__anxiety,tab_cov,31,0.61346154776768,0.10001382125353864
dis__anxiety,covariates,137,0.5907799449299769,0.09578908340018061
dis__anxiety,lejepa_cov,137,0.6112107178459782,0.09418653143764717
dis__anxiety,dino_cov,137,0.5977329587797489,0.08845257735913802
dis__anxiety,tab_cov,137,0.5943297958828141,0.09839295239921239
dis__anxiety,covariates,256,0.6147732716820069,0.10624822799387933
dis__anxiety,lejepa_cov,256,0.6301658391645617,0.11148361936926295
dis__anxiety,dino_cov,256,0.6344086021505377,0.10803752367186098
dis__anxiety,tab_cov,256,0.6161751255770739,0.10516886716896423
dis__asthma,covariates,42,0.5569813494861978,0.17180663146258363
dis__asthma,lejepa_cov,42,0.6322058230908724,0.22826783601836534
dis__asthma,dino_cov,42,0.6276055309288737,0.22121802600054263
dis__asthma,tab_cov,42,0.5936410689099335,0.18338392432652648
dis__asthma,covariates,73,0.5704220607495467,0.16889918830962716
dis__asthma,lejepa_cov,73,0.6294013197662705,0.22009339655561938
dis__asthma,dino_cov,73,0.6238275740479549,0.22453385539815313
dis__asthma,tab_cov,73,0.5978153964336087,0.1872407609887033
dis__asthma,covariates,99,0.5392710747028007,0.15880978847742858
dis__asthma,lejepa_cov,99,0.6137102055208543,0.21496488937812047
dis__asthma,dino_cov,99,0.6106255037275841,0.21527105169084554
dis__asthma,tab_cov,99,0.5724420083618779,0.1689380935158076
dis__asthma,covariates,123,0.5665526458291356,0.17565677451984862
dis__asthma,lejepa_cov,123,0.6391226324803545,0.21939024760176223
dis__asthma,dino_cov,123,0.633486550473504,0.22019401949969045
dis__asthma,tab_cov,123,0.5959216955470482,0.18509523028301572
dis__asthma,covariates,2024,0.5486511119786419,0.16701733523148946
dis__asthma,lejepa_cov,2024,0.6348982470280073,0.21642459794294336
dis__asthma,dino_cov,2024,0.6301921720733427,0.23100095672420456
dis__asthma,tab_cov,2024,0.5937477961918195,0.18726698815208365
dis__asthma,covariates,7,0.5498820962623414,0.16066894769991177
dis__asthma,lejepa_cov,7,0.6168984862986098,0.2036776197189518
dis__asthma,dino_cov,7,0.6149871549466048,0.21887634615185428
dis__asthma,tab_cov,7,0.5969719675599436,0.18820321988980626
dis__asthma,covariates,17,0.538424812361475,0.15583254041435937
dis__asthma,lejepa_cov,17,0.6022803118073746,0.19822418472741604
dis__asthma,dino_cov,17,0.6064864371347974,0.20558566001226766
dis__asthma,tab_cov,17,0.5834317700987306,0.17671614973568997
dis__asthma,covariates,31,0.5388880843239976,0.15467790393869665
dis__asthma,lejepa_cov,31,0.6052812688897844,0.19981856434667594
dis__asthma,dino_cov,31,0.6195405374773322,0.21515066542597608
dis__asthma,tab_cov,31,0.5768537175095708,0.17855159234658308
dis__asthma,covariates,137,0.5540646093592585,0.15934208183431137
dis__asthma,lejepa_cov,137,0.6004372985089663,0.19992794246212778
dis__asthma,dino_cov,137,0.5993196529316945,0.20572248889033676
dis__asthma,tab_cov,137,0.5836338907918598,0.17368405011005797
dis__asthma,covariates,256,0.5455089537578077,0.1633220073782758
dis__asthma,lejepa_cov,256,0.6167417010880515,0.21274479076261105
dis__asthma,dino_cov,256,0.6196308936127342,0.22185705886866341
dis__asthma,tab_cov,256,0.57615101752972,0.17627129013654838
dis__atrial_fibrillation,covariates,42,0.7139869898360753,0.08189028571837327
dis__atrial_fibrillation,lejepa_cov,42,0.727647023786732,0.10995655647150164
dis__atrial_fibrillation,dino_cov,42,0.7128393470242123,0.10214460584205774
dis__atrial_fibrillation,tab_cov,42,0.7279235642233255,0.09226186443688286
dis__atrial_fibrillation,covariates,73,0.7185307619327199,0.0811690035192434
dis__atrial_fibrillation,lejepa_cov,73,0.7241477236467599,0.09337156811995355
dis__atrial_fibrillation,dino_cov,73,0.7145294345386242,0.08834605375752383
dis__atrial_fibrillation,tab_cov,73,0.7207664850008721,0.09613567115215214
dis__atrial_fibrillation,covariates,99,0.7165651975987781,0.0794686697544686
dis__atrial_fibrillation,lejepa_cov,99,0.7261100971295102,0.1040108024694173
dis__atrial_fibrillation,dino_cov,99,0.721749267167843,0.1165236707227294
dis__atrial_fibrillation,tab_cov,99,0.7299699634541177,0.08575748545863554
dis__atrial_fibrillation,covariates,123,0.7011315821941995,0.09220979063640165
dis__atrial_fibrillation,lejepa_cov,123,0.7188530379030577,0.10906104473963715
dis__atrial_fibrillation,dino_cov,123,0.705949235684778,0.09991929710227587
dis__atrial_fibrillation,tab_cov,123,0.7082689845009722,0.10712419838204022
dis__atrial_fibrillation,covariates,2024,0.7460417490969891,0.10641801871417884
dis__atrial_fibrillation,lejepa_cov,2024,0.7519538645462397,0.12940101350212568
