Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Femur shaft BMD (bone mineral density) (right),Femur shaft BMD BMD (right),-0.0029662109374999964,-0.007411090395480229,-0.004307499999999982,-0.1684279082440589,128,118,0.4475306310058442,0.5684848556020183
Total BMD (bone mineral density) T-score,Total BMD BMD T-score,-0.03677369286570743,-0.04958848855297158,-0.01894849999999995,-0.07914506754148629,139,129,0.45849491756285465,0.5746469633454445
Arm BMD (bone mineral density) (right),Arm BMD BMD (right),-0.011793905660377342,-0.01934654248366014,0.0009494999999999365,-0.20559643713487735,53,51,0.5030196763755784,0.6221559155171629
Femur wards BMD (bone mineral density) (right),Femur wards BMD BMD (right),0.0014575904947916674,-0.0040770847457627145,0.0007281666666666504,-0.18666044032155557,128,118,0.5911662227782217,0.7197346356196053
Spine BMD (bone mineral density),Spine BMD BMD,-0.0003218477218225352,-0.0035233927648578825,-0.0015350000000000086,-0.10502173261640238,139,129,0.5972266125354171,0.7197346356196053
Pelvis bone area,Pelvis bone area,0.056014388489207215,-0.18192506459948252,0.1839999999999975,-0.03546207556008598,139,129,0.6115317696228201,0.72104372681823
Femur neck BMD (bone mineral density) (right),Femur neck BMD BMD (right),-0.00298327734375,-0.006265575564971747,-0.0009130833333333248,-0.143418939171432,128,118,0.613654235589983,0.72104372681823
Legs BMC (bone mineral content),Legs BMC BMC,-3.3647961630695407,-5.5533468992248185,0.34499999999998954,-0.14325854502516544,139,129,0.6736549811028907,0.7817724472058238
Spine bone area,Spine bone area,-1.3744514388489208,-0.6788307493540053,0.21016666666666595,0.07715812519306635,139,129,0.7026803572976287,0.8055116290972816
Trunk bone area,Trunk bone area,0.49647182254196554,-1.456157622739019,0.28466666666660484,-0.13286045229083862,139,129,0.7155932636243991,0.8104309250685966
Leg BMC (bone mineral content) (left),Leg BMC BMC (left),-1.5337248427672914,-2.922955882352943,0.03350000000000364,-0.16253153288932914,53,51,0.7450906670260153,0.8337919369100648
L1-L4 area,L1-L4 area,0.010600066666666524,0.040271159420290005,0.03986666666666849,0.027933558883254706,125,115,0.795868306886258,0.8801367158506853
Total BMD (bone mineral density) (right),Total BMD BMD (right),-0.0060177201257861435,-0.005065947712418302,3.500000000000725e-05,0.05126730545371702,53,51,0.8098741455713979,0.8852112753919931
Arms BMC (bone mineral content),Arms BMC BMC,-2.9934064748201443,-3.4731692506459964,0.5319999999999823,-0.04484758659181606,139,129,0.8350707746962179,0.9022603772579827
Head BMC (bone mineral content),Head BMC BMC,-2.068829136690648,-2.085111757105942,-0.4891666666666574,-0.0020239641349384997,139,129,0.8474056452674594,0.9051833028993317
DXA measurement completed,DXA measurement completed,-0.05866228070175438,-0.05830388692579505,0.0,0.001556407604372338,304,283,0.8941738949109591,0.9444083833891029
Pelvis BMD (bone mineral density),Pelvis BMD BMD,-0.007866237410071945,-0.009290651162790696,0.0015346666666666842,-0.08350701408549482,139,129,0.9283621751367798,0.9677726564398708
Gynoid bone mass,Gynoid bone mass,-1.8598484848484849,-1.7967032967032968,-0.16666666666666652,0.010486838043134352,110,91,0.9388068473132729,0.9677726564398708
Pelvis BMC (bone mineral content),Pelvis BMC BMC,-2.594526378896883,-3.3932461240310086,0.7015000000000007,-0.08758586242779909,139,129,0.9471817488560437,0.9677726564398708
Spine BMC (bone mineral content),Spine BMC BMC,-1.5033687050359712,-1.2758294573643418,0.5074999999999932,0.0212550098856734,139,129,0.9823824695409651,0.9844365195709686
Leg BMC (bone mineral content) (right),Leg BMC BMC (right),-2.523803459119503,-2.2634901960784357,-0.9629999999999939,0.028674991352381076,53,51,0.9844365195709686,0.9844365195709686
