cohort,key,raw_key,model_a,model_b,mean_a,mean_b,p_two_tailed_adj
UKBB,dis__atrial_fibrillation,dis__atrial_fibrillation,dino,covariates,0.7174,0.7131,0.18512
UKBB,dis__atrial_fibrillation,dis__atrial_fibrillation,tabular,covariates,0.7196,0.7131,0.03577
UKBB,dis__back_pain,dis__back_pain,lejepa,dino,0.5876,0.5899,0.40341
UKBB,dis__back_pain,dis__back_pain,lejepa,tabular,0.5876,0.5915,0.55611
UKBB,dis__back_pain,dis__back_pain,lejepa,covariates,0.5876,0.5407,0.00531
UKBB,dis__back_pain,dis__back_pain,dino,tabular,0.5899,0.5915,0.72882
UKBB,dis__back_pain,dis__back_pain,dino,covariates,0.5899,0.5407,0.00531
UKBB,dis__back_pain,dis__back_pain,tabular,covariates,0.5915,0.5407,0.00531
UKBB,dis__celiac,dis__celiac,lejepa,dino,0.6296,0.6589,0.00918
UKBB,dis__celiac,dis__celiac,lejepa,tabular,0.6296,0.6107,0.02673
UKBB,dis__celiac,dis__celiac,lejepa,covariates,0.6296,0.5679,0.00531
UKBB,dis__celiac,dis__celiac,dino,tabular,0.6589,0.6107,0.00531
UKBB,dis__celiac,dis__celiac,dino,covariates,0.6589,0.5679,0.00531
UKBB,dis__celiac,dis__celiac,tabular,covariates,0.6107,0.5679,0.00531
UKBB,dis__copd,dis__copd,lejepa,dino,0.7608,0.7647,0.62087
UKBB,dis__copd,dis__copd,lejepa,tabular,0.7608,0.73,0.00531
UKBB,dis__copd,dis__copd,lejepa,covariates,0.7608,0.6579,0.00531
UKBB,dis__copd,dis__copd,dino,tabular,0.7647,0.73,0.00531
UKBB,dis__copd,dis__copd,dino,covariates,0.7647,0.6579,0.00531
UKBB,dis__copd,dis__copd,tabular,covariates,0.73,0.6579,0.00531
UKBB,dis__depression,dis__depression,lejepa,dino,0.6221,0.6236,0.55611
UKBB,dis__depression,dis__depression,lejepa,tabular,0.6221,0.6184,0.22294
UKBB,dis__depression,dis__depression,lejepa,covariates,0.6221,0.6108,0.00918
UKBB,dis__depression,dis__depression,dino,tabular,0.6236,0.6184,0.22294
UKBB,dis__depression,dis__depression,dino,covariates,0.6236,0.6108,0.00531
UKBB,dis__depression,dis__depression,tabular,covariates,0.6184,0.6108,0.00531
UKBB,dis__diabetes,dis__diabetes,lejepa,dino,0.8399,0.8355,0.10103
UKBB,dis__diabetes,dis__diabetes,lejepa,tabular,0.8399,0.83,0.00918
UKBB,dis__diabetes,dis__diabetes,lejepa,covariates,0.8399,0.7256,0.00531
UKBB,dis__diabetes,dis__diabetes,dino,tabular,0.8355,0.83,0.0633
UKBB,dis__diabetes,dis__diabetes,dino,covariates,0.8355,0.7256,0.00531
UKBB,dis__diabetes,dis__diabetes,tabular,covariates,0.83,0.7256,0.00531
UKBB,dis__endometriosis,dis__endometriosis,lejepa,dino,0.8021,0.7843,0.00918
UKBB,dis__endometriosis,dis__endometriosis,lejepa,tabular,0.8021,0.8024,0.55611
UKBB,dis__endometriosis,dis__endometriosis,lejepa,covariates,0.8021,0.7918,0.02673
UKBB,dis__endometriosis,dis__endometriosis,dino,tabular,0.7843,0.8024,0.00918
UKBB,dis__endometriosis,dis__endometriosis,dino,covariates,0.7843,0.7918,0.0633
UKBB,dis__endometriosis,dis__endometriosis,tabular,covariates,0.8024,0.7918,0.02124
UKBB,dis__gallstone,dis__gallstone,lejepa,dino,0.6833,0.6785,0.02673
UKBB,dis__gallstone,dis__gallstone,lejepa,tabular,0.6833,0.6824,0.72882
UKBB,dis__gallstone,dis__gallstone,lejepa,covariates,0.6833,0.6716,0.04905
UKBB,dis__gallstone,dis__gallstone,dino,tabular,0.6785,0.6824,0.25683
UKBB,dis__gallstone,dis__gallstone,dino,covariates,0.6785,0.6716,0.15421
UKBB,dis__gallstone,dis__gallstone,tabular,covariates,0.6824,0.6716,0.00531
UKBB,dis__gout,dis__gout,lejepa,dino,0.8157,0.8129,0.12707
UKBB,dis__gout,dis__gout,lejepa,tabular,0.8157,0.8098,0.00531
UKBB,dis__gout,dis__gout,lejepa,covariates,0.8157,0.7966,0.00531
UKBB,dis__gout,dis__gout,dino,tabular,0.8129,0.8098,0.12707
UKBB,dis__gout,dis__gout,dino,covariates,0.8129,0.7966,0.00531
UKBB,dis__gout,dis__gout,tabular,covariates,0.8098,0.7966,0.00531
UKBB,dis__heart_failure,dis__heart_failure,lejepa,dino,0.7826,0.7895,0.15421
UKBB,dis__heart_failure,dis__heart_failure,lejepa,tabular,0.7826,0.7856,0.87072
UKBB,dis__heart_failure,dis__heart_failure,lejepa,covariates,0.7826,0.7756,0.02673
UKBB,dis__heart_failure,dis__heart_failure,dino,tabular,0.7895,0.7856,0.50406
UKBB,dis__heart_failure,dis__heart_failure,dino,covariates,0.7895,0.7756,0.03577
UKBB,dis__heart_failure,dis__heart_failure,tabular,covariates,0.7856,0.7756,0.00531
UKBB,dis__hyperlipidemia,dis__hyperlipidemia,lejepa,dino,0.7361,0.732,0.00531
UKBB,dis__hyperlipidemia,dis__hyperlipidemia,lejepa,tabular,0.7361,0.7348,0.29957
UKBB,dis__hyperlipidemia,dis__hyperlipidemia,lejepa,covariates,0.7361,0.7099,0.00531
UKBB,dis__hyperlipidemia,dis__hyperlipidemia,dino,tabular,0.732,0.7348,0.00918
UKBB,dis__hyperlipidemia,dis__hyperlipidemia,dino,covariates,0.732,0.7099,0.00531
UKBB,dis__hyperlipidemia,dis__hyperlipidemia,tabular,covariates,0.7348,0.7099,0.00531
UKBB,dis__hypertension,dis__hypertension,lejepa,dino,0.7429,0.7386,0.00918
UKBB,dis__hypertension,dis__hypertension,lejepa,tabular,0.7429,0.741,0.10103
UKBB,dis__hypertension,dis__hypertension,lejepa,covariates,0.7429,0.7194,0.00531
UKBB,dis__hypertension,dis__hypertension,dino,tabular,0.7386,0.741,0.10103
UKBB,dis__hypertension,dis__hypertension,dino,covariates,0.7386,0.7194,0.00531
UKBB,dis__hypertension,dis__hypertension,tabular,covariates,0.741,0.7194,0.00531
UKBB,dis__hyperthyroidism,dis__hyperthyroidism,lejepa,dino,0.6654,0.644,0.04905
UKBB,dis__hyperthyroidism,dis__hyperthyroidism,lejepa,tabular,0.6654,0.6516,0.25683
UKBB,dis__hyperthyroidism,dis__hyperthyroidism,lejepa,covariates,0.6654,0.6544,0.03577
UKBB,dis__hyperthyroidism,dis__hyperthyroidism,dino,tabular,0.644,0.6516,0.45312
UKBB,dis__hyperthyroidism,dis__hyperthyroidism,dino,covariates,0.644,0.6544,0.12707
UKBB,dis__hyperthyroidism,dis__hyperthyroidism,tabular,covariates,0.6516,0.6544,1.0
UKBB,dis__hypothyroidism,dis__hypothyroidism,lejepa,dino,0.6795,0.6741,0.02673
UKBB,dis__hypothyroidism,dis__hypothyroidism,lejepa,tabular,0.6795,0.6851,0.00918
UKBB,dis__hypothyroidism,dis__hypothyroidism,lejepa,covariates,0.6795,0.6851,0.00531
UKBB,dis__hypothyroidism,dis__hypothyroidism,dino,tabular,0.6741,0.6851,0.00531
UKBB,dis__hypothyroidism,dis__hypothyroidism,dino,covariates,0.6741,0.6851,0.00531
UKBB,dis__hypothyroidism,dis__hypothyroidism,tabular,covariates,0.6851,0.6851,0.93805
UKBB,dis__ibs,dis__ibs,lejepa,dino,0.5986,0.5854,0.00531
UKBB,dis__ibs,dis__ibs,lejepa,tabular,0.5986,0.5995,1.0
UKBB,dis__ibs,dis__ibs,lejepa,covariates,0.5986,0.592,0.03577
UKBB,dis__ibs,dis__ibs,dino,tabular,0.5854,0.5995,0.00531
UKBB,dis__ibs,dis__ibs,dino,covariates,0.5854,0.592,0.0633
UKBB,dis__ibs,dis__ibs,tabular,covariates,0.5995,0.592,0.02673
UKBB,dis__ischemic_heart_disease,dis__ischemic_heart_disease,lejepa,dino,0.7421,0.7341,0.00918
UKBB,dis__ischemic_heart_disease,dis__ischemic_heart_disease,lejepa,tabular,0.7421,0.7414,0.50406
UKBB,dis__ischemic_heart_disease,dis__ischemic_heart_disease,lejepa,covariates,0.7421,0.7334,0.00531
UKBB,dis__ischemic_heart_disease,dis__ischemic_heart_disease,dino,tabular,0.7341,0.7414,0.02124
UKBB,dis__ischemic_heart_disease,dis__ischemic_heart_disease,dino,covariates,0.7341,0.7334,0.72882
UKBB,dis__ischemic_heart_disease,dis__ischemic_heart_disease,tabular,covariates,0.7414,0.7334,0.00531
UKBB,dis__kidney_stones,dis__kidney_stones,lejepa,dino,0.6549,0.6327,0.01341
UKBB,dis__kidney_stones,dis__kidney_stones,lejepa,tabular,0.6549,0.6533,0.72882
UKBB,dis__kidney_stones,dis__kidney_stones,lejepa,covariates,0.6549,0.6301,0.00531
UKBB,dis__kidney_stones,dis__kidney_stones,dino,tabular,0.6327,0.6533,0.00531
UKBB,dis__kidney_stones,dis__kidney_stones,dino,covariates,0.6327,0.6301,0.87072
UKBB,dis__kidney_stones,dis__kidney_stones,tabular,covariates,0.6533,0.6301,0.00531
UKBB,dis__liver_disease,dis__liver_disease,lejepa,dino,0.6926,0.6793,0.18512
UKBB,dis__liver_disease,dis__liver_disease,lejepa,tabular,0.6926,0.6863,0.25683
UKBB,dis__liver_disease,dis__liver_disease,lejepa,covariates,0.6926,0.6834,0.29957
UKBB,dis__liver_disease,dis__liver_disease,dino,tabular,0.6793,0.6863,0.25683
UKBB,dis__liver_disease,dis__liver_disease,dino,covariates,0.6793,0.6834,0.67969
UKBB,dis__liver_disease,dis__liver_disease,tabular,covariates,0.6863,0.6834,0.50406
UKBB,dis__osteoarthritis,dis__osteoarthritis,lejepa,dino,0.6929,0.6964,0.34723
UKBB,dis__osteoarthritis,dis__osteoarthritis,lejepa,tabular,0.6929,0.6746,0.00531
UKBB,dis__osteoarthritis,dis__osteoarthritis,lejepa,covariates,0.6929,0.6475,0.00531
UKBB,dis__osteoarthritis,dis__osteoarthritis,dino,tabular,0.6964,0.6746,0.00531
UKBB,dis__osteoarthritis,dis__osteoarthritis,dino,covariates,0.6964,0.6475,0.00531
UKBB,dis__osteoarthritis,dis__osteoarthritis,tabular,covariates,0.6746,0.6475,0.00531
UKBB,dis__osteoporosis,dis__osteoporosis,lejepa,dino,0.8366,0.8296,0.01341
UKBB,dis__osteoporosis,dis__osteoporosis,lejepa,tabular,0.8366,0.8461,0.00531
UKBB,dis__osteoporosis,dis__osteoporosis,lejepa,covariates,0.8366,0.7856,0.00531
UKBB,dis__osteoporosis,dis__osteoporosis,dino,tabular,0.8296,0.8461,0.00531
UKBB,dis__osteoporosis,dis__osteoporosis,dino,covariates,0.8296,0.7856,0.00531
UKBB,dis__osteoporosis,dis__osteoporosis,tabular,covariates,0.8461,0.7856,0.00531
UKBB,dis__pcos,dis__pcos,lejepa,dino,0.8309,0.8208,0.10103
UKBB,dis__pcos,dis__pcos,lejepa,tabular,0.8309,0.8271,0.45312
UKBB,dis__pcos,dis__pcos,lejepa,covariates,0.8309,0.8253,0.18512
UKBB,dis__pcos,dis__pcos,dino,tabular,0.8208,0.8271,0.34723
UKBB,dis__pcos,dis__pcos,dino,covariates,0.8208,0.8253,0.55611
UKBB,dis__pcos,dis__pcos,tabular,covariates,0.8271,0.8253,0.45312
UKBB,dis__psoriasis,dis__psoriasis,lejepa,dino,0.5499,0.5449,0.55611
UKBB,dis__psoriasis,dis__psoriasis,lejepa,tabular,0.5499,0.5503,0.67969
UKBB,dis__psoriasis,dis__psoriasis,lejepa,covariates,0.5499,0.5457,0.50406
UKBB,dis__psoriasis,dis__psoriasis,dino,tabular,0.5449,0.5503,0.72882
UKBB,dis__psoriasis,dis__psoriasis,dino,covariates,0.5449,0.5457,0.87072
UKBB,dis__psoriasis,dis__psoriasis,tabular,covariates,0.5503,0.5457,0.34723
UKBB,dis__renal_failure,dis__renal_failure,lejepa,dino,0.6993,0.6892,0.02124
UKBB,dis__renal_failure,dis__renal_failure,lejepa,tabular,0.6993,0.6978,0.62087
UKBB,dis__renal_failure,dis__renal_failure,lejepa,covariates,0.6993,0.6871,0.03577
UKBB,dis__renal_failure,dis__renal_failure,dino,tabular,0.6892,0.6978,0.0633
UKBB,dis__renal_failure,dis__renal_failure,dino,covariates,0.6892,0.6871,0.72882
UKBB,dis__renal_failure,dis__renal_failure,tabular,covariates,0.6978,0.6871,0.0633
UKBB,dis__rheumatoid_arthritis,dis__rheumatoid_arthritis,lejepa,dino,0.6042,0.5804,0.02673
UKBB,dis__rheumatoid_arthritis,dis__rheumatoid_arthritis,lejepa,tabular,0.6042,0.5969,0.45312
UKBB,dis__rheumatoid_arthritis,dis__rheumatoid_arthritis,lejepa,covariates,0.6042,0.5935,0.25683
UKBB,dis__rheumatoid_arthritis,dis__rheumatoid_arthritis,dino,tabular,0.5804,0.5969,0.25683
UKBB,dis__rheumatoid_arthritis,dis__rheumatoid_arthritis,dino,covariates,0.5804,0.5935,0.29957
UKBB,dis__rheumatoid_arthritis,dis__rheumatoid_arthritis,tabular,covariates,0.5969,0.5935,0.67969
UKBB,dis__sleep_disorders,dis__sleep_disorders,lejepa,dino,0.6437,0.6289,0.02673
UKBB,dis__sleep_disorders,dis__sleep_disorders,lejepa,tabular,0.6437,0.6292,0.03577
UKBB,dis__sleep_disorders,dis__sleep_disorders,lejepa,covariates,0.6437,0.6194,0.00918
UKBB,dis__sleep_disorders,dis__sleep_disorders,dino,tabular,0.6289,0.6292,1.0
UKBB,dis__sleep_disorders,dis__sleep_disorders,dino,covariates,0.6289,0.6194,0.18512
UKBB,dis__sleep_disorders,dis__sleep_disorders,tabular,covariates,0.6292,0.6194,0.10103
UKBB,dis__stroke,dis__stroke,lejepa,dino,0.6883,0.6776,0.10103
UKBB,dis__stroke,dis__stroke,lejepa,tabular,0.6883,0.6918,0.29957
UKBB,dis__stroke,dis__stroke,lejepa,covariates,0.6883,0.6888,0.93805
UKBB,dis__stroke,dis__stroke,dino,tabular,0.6776,0.6918,0.10103
UKBB,dis__stroke,dis__stroke,dino,covariates,0.6776,0.6888,0.12707
UKBB,dis__stroke,dis__stroke,tabular,covariates,0.6918,0.6888,0.15421
